,sentence,topic,sentiment,tokens,dataset
1011,thầy tận tâm .,0,2,"['thầy', 'tận_tâm']",train
1012,cho rất nhiều ví dụ và bài tập mà thông qua đó làm sinh viên dễ tiếp thu bài .,0,2,"['ví_dụ', 'bài_tập', 'thông_qua', 'sinh_viên', 'tiếp_thu']",train
1013,chia sẻ kiến thức thực tế cho sinh viên .,3,2,"['kiến_thức', 'sinh_viên']",train
1014,lên lớp ít .,0,0,['lên_lớp'],train
1015,"bài giảng hay , gần gũi với sinh viên .",1,2,"['giảng', 'gần_gũi', 'sinh_viên']",train
1016,"giảng quá nhanh với phần bài tập , không nắm bắt được các dạng bài làm nó như thế nào .",0,0,"['giảng', 'bài_tập', 'nắm_bắt', 'dạng', 'bài_làm']",train
1017,không có gì để hài lòng .,3,0,['hài_lòng'],train
1018,giáo viên nhiệt tình nhưng dạy khó hiểu quá .,0,0,"['giáo_viên', 'nhiệt_tình', 'dạy']",train
1019,"phòng thực hành cần nâng cấp các bộ kit , thực hành chưa hiệu quả .",2,0,"['phòng', 'thực_hành', 'nâng_cấp', 'kit', 'thực_hành', 'hiệu_quả']",train
1020,"dọng thầy hơi khó nghe , nói còn hơi to .",0,0,"['dọng', 'thầy', 'hơi', 'hơi', 'to']",train
1021,"giảm thời lượng lý thuyết , tăng thời lượng thực hành .",1,0,"['thời_lượng', 'lý_thuyết', 'thời_lượng', 'thực_hành']",train
1022,tóm lại thầy nên học một khóa về kỹ năng giao tiếp .,0,0,"['tóm', 'thầy', 'học', 'khóa', 'kỹ_năng', 'giao_tiếp']",train
1023,chương trình dạy hơi nhiều .,0,0,"['chương_trình', 'dạy', 'hơi']",train
1024,cô dạy rất tốt .,0,2,['dạy'],train
1025,"thầy giảng khá hay , không buồn ngủ .",0,2,"['thầy', 'giảng', 'buồn_ngủ']",train
1026,thầy cho nhiều bài tập hay .,0,2,"['thầy', 'bài_tập']",train
1027,không có gì phàn nàn về giảng viên .,0,1,"['phàn_nàn', 'giảng_viên']",train
1028,"giảng viên dạy dễ hiểu , dễ tiếp thu , nhiệt tình .",0,2,"['giảng_viên', 'dạy', 'tiếp_thu', 'nhiệt_tình']",train
1029,thầy giảng bài quá buồn ngủ .,0,0,"['thầy', 'giảng', 'buồn_ngủ']",train
1030,"bản thân thầy dạy thực hành mà 3 tuần học liền tương đương 1dot5 tháng mà thầy vẫn không làm được yêu cầu cơ bản của môn học , đó là kết nối oracle trên 2 máy .",0,0,"['thầy', 'dạy', 'thực_hành', '3', 'tuần', 'học', 'liền', 'tương_đương', '1dot5', 'thầy', 'cơ_bản', 'môn_học', 'kết_nối', 'oracle', '2', 'máy']",train
1031,"các dạng bài tập rõ ràng , tài liệu cung cấp đầy đủ .",1,2,"['dạng', 'bài_tập', 'rõ_ràng', 'tài_liệu', 'cung_cấp', 'đầy_đủ']",train
1032,phương pháp của thầy hay .,0,2,"['phương_pháp', 'thầy']",train
1033,nên sắp lịch học phù hợp .,1,0,"['lịch', 'học']",train
1034,mong thầy dạy đúng số tiết mà môn đó quy định .,0,0,"['mong', 'thầy', 'dạy', 'tiết', 'môn', 'quy_định']",train
1035,cần tăng thêm thời gian cho môn học .,1,0,['môn_học'],train
1036,"nên tiết chế lại các yêu cầu về đồ án môn học như việc chấm chéo , làm clip hướng dẫn vừa lồng tiếng lại còn chèn sub .",1,0,"['tiết', 'chế', 'đồ_án', 'môn_học', 'chấm', 'chéo', 'clip', 'hướng_dẫn', 'lồng_tiếng', 'chèn', 'sub']",train
1037,hy vọng trong học kỳ tới nhà trường sẽ nâng cao chất lượng dạy và học hơn .,1,0,"['hy_vọng', 'học_kỳ', 'nhà_trường', 'nâng', 'chất_lượng', 'dạy', 'học']",train
1038,"giảng viên nhiệt tình , hết mình truyền đạt kiến thức .",0,2,"['giảng_viên', 'nhiệt_tình', 'hết_mình', 'truyền_đạt', 'kiến_thức']",train
1039,có tinh thần trách nhiệm .,0,2,"['tinh_thần', 'trách_nhiệm']",train
1040,hay bị bù thời gian học .,0,0,"['bù', 'học']",train
1041,"nhiệt tình , thoải mái .",0,2,"['nhiệt_tình', 'thoải_mái']",train
1042,sinh viên không tiếp thu kịp cũng như không hiểu gì .,1,0,"['sinh_viên', 'tiếp_thu', 'kịp']",train
1043,thầy khá là tận tâm trong việc truyền đạt kiến thức .,0,0,"['thầy', 'tận_tâm', 'truyền_đạt', 'kiến_thức']",train
1044,"cô rất dễ thương , cho điểm khách quan , cô giúp em nhớ lại nhiều kiến thức .",0,2,"['dễ_thương', 'khách_quan', 'giúp', 'kiến_thức']",train
1045,"có thể không chữa cũng được , ai thắc mắc sẽ hỏi riêng .",0,0,"['chữa', 'thắc_mắc']",train
1046,"mỗi một vấn đề đều phải dừng lại hỏi xem còn sinh viên nào có cách khác không , hay đơn giản là cách hiểu khác trên cùng một vấn đề .",3,1,"['dừng', 'sinh_viên', 'đơn_giản']",train
1047,tính chất môn học là code trực tiếp trên phần mềm dreamweaver và code sửa đi sửa lại để làm cho sinh viên hiểu .,1,0,"['tính_chất', 'môn_học', 'code', 'phần_mềm', 'dreamweaver', 'code', 'sửa', 'đi', 'sửa', 'sinh_viên']",train
1048,cô cho nhiều bài tập rất hay và bổ ích .,0,2,"['bài_tập', 'bổ_ích']",train
1049,bài giảng và thực hành đa dạng .,1,2,"['giảng', 'thực_hành', 'đa_dạng']",train
1050,thầy hay đến lớp muộn sao với sinh viên .,0,0,"['thầy', 'lớp', 'muộn', 'sinh_viên']",train
1051,"có thể vận dụng được các kiến thức đã học để thiết kế , chế tạo , tính toán .",1,2,"['vận_dụng', 'kiến_thức', 'học', 'thiết_kế', 'chế_tạo', 'tính_toán']",train
1052,thầy nói ít nhưng em hiểu nhiều hơn .,0,2,['thầy'],train
1053,"cô vui tính , học không áp lực .",1,2,"['vui_tính', 'học', 'áp_lực']",train
1054,bài tập chưa đủ để sinh viên thấu hiểu .,1,0,"['bài_tập', 'sinh_viên', 'thấu_hiểu']",train
1055,chất lượng phòng máy rất tệ .,2,0,"['chất_lượng', 'phòng', 'máy', 'tệ']",train
1056,thực sự em vẫn chưa hiểu ngoài việc để làm bài tập thì wireshark được dùng để làm việc gì khác .,1,0,"['bài_tập', 'wireshark', 'làm_việc']",train
1057,"thời gian hiệu quả , giảng viên nhiệt tình .",0,2,"['hiệu_quả', 'giảng_viên', 'nhiệt_tình']",train
1058,"thầy rất tận tình , nhưng hay vắng .",0,0,"['thầy', 'tận_tình', 'vắng']",train
1059,cần làm nhiều bài tập trên lớp .,1,0,"['bài_tập', 'lớp']",train
1060,"tỉ lệ điểm số phân bố chưa đề so với phần việc , giữa điểm quá trình và điểm thực hành .",1,0,"['tỉ_lệ', 'phân_bố', 'đề', 'thực_hành']",train
1061,thầy chỉ làm việc của thầy .,0,0,"['thầy', 'làm_việc', 'thầy']",train
1062,"giáo viên nên tránh giảng dài dòng , dễ gây khó hiểu cho sinh viên .",0,0,"['giáo_viên', 'giảng', 'dài_dòng', 'sinh_viên']",train
1063,bài tập thực hành mang tính vận dung cao những kiến thức đã học và sự hướng dẫn tận tình của giàng viên .,1,2,"['bài_tập', 'thực_hành', 'vận', 'dung', 'kiến_thức', 'học', 'hướng_dẫn', 'tận_tình', 'giàng_viên']",train
1064,"thầy có hơi khó khăn trong phần điểm danh , vài lần em vào trễ nhưng không được thầy điểm danh .",0,0,"['thầy', 'hơi', 'điểm_danh', 'trễ', 'thầy', 'điểm_danh']",train
1065,"giảng dạy nhiệt tình , luôn đổi mới nội dung .",0,2,"['giảng_dạy', 'nhiệt_tình', 'đổi_mới', 'nội_dung']",train
1066,"cô dạy nhiệt tình , giảng bài tập hay .",0,2,"['dạy', 'nhiệt_tình', 'giảng', 'bài_tập']",train
1067,"nên cung cấp cho sinh viên thêm nhiều tài liệu , cũng như bắt kịp xu thế phát triển của công nghệ để không bị lỗi thời lạc hậu .",1,0,"['cung_cấp', 'sinh_viên', 'tài_liệu', 'bắt', 'kịp', 'xu_thế', 'phát_triển', 'công_nghệ', 'lỗi_thời', 'lạc_hậu']",train
1068,chưa phổ biến rõ cách thức nộp bài thi .,0,0,"['phổ_biến', 'cách_thức', 'nộp', 'thi']",train
1069,giảng viên rất tệ .,0,0,"['giảng_viên', 'tệ']",train
1070,thường thì đồ án và bài tập cuối kỳ rất nhiều .,1,0,"['đồ_án', 'bài_tập', 'kỳ']",train
1071,lấy ví dụ từ thực tế dễ hiểu !,0,2,['ví_dụ'],train
1072,"quản lý lớp tốt , truyền đạt hay .",0,2,"['quản_lý', 'lớp', 'truyền_đạt']",train
1073,"giảng viên chưa truyền đạt bài giảng một cách liền mạch , còn lúng túng .",0,0,"['giảng_viên', 'truyền_đạt', 'giảng', 'liền', 'mạch', 'lúng_túng']",train
1074,kiến thức chuyên môn sâu .,0,2,"['kiến_thức', 'chuyên_môn', 'sâu']",train
1075,"dạy rất nhiệt tình , cho bài tập nhiều .",0,2,"['dạy', 'nhiệt_tình', 'bài_tập']",train
1076,"thầy chỉ bảo rất nhiệt tình , tận tâm , nghiêm túc nhưng thoải mái , vui vẻ , em rất thích !",0,2,"['thầy', 'chỉ_bảo', 'nhiệt_tình', 'tận_tâm', 'nghiêm_túc', 'thoải_mái', 'vui_vẻ']",train
1077,có thông báo cho sinh viên rất đầy đủ .,0,2,"['thông_báo', 'sinh_viên', 'đầy_đủ']",train
1078,"giáo viên nhiệt tình , đảm bảo giờ lên lớp , dạy kỹ .",0,2,"['giáo_viên', 'nhiệt_tình', 'lên_lớp', 'dạy', 'kỹ']",train
1079,"thầy dạy rất hay , dễ hiểu , thân thiện với sinh viên .",0,2,"['thầy', 'dạy', 'thân_thiện', 'sinh_viên']",train
1080,cô nên làm các bài tập mẫu nhiều hơn .,0,0,"['bài_tập', 'mẫu']",train
1081,"thầy luôn hướng dẫn sinh viên giải bài tập bằng nhiều cách , suy luận logic .",0,2,"['thầy', 'hướng_dẫn', 'sinh_viên', 'giải', 'bài_tập', 'suy_luận', 'logic']",train
1082,em xin đề xuất thêm những buổi thực hành để nâng cao tầm hiệu quả của môn học .,1,0,"['đề_xuất', 'thực_hành', 'nâng', 'tầm', 'hiệu_quả', 'môn_học']",train
1083,"giảng viên chấm điểm công bằng , chính xác .",0,2,"['giảng_viên', 'chấm', 'công_bằng', 'chính_xác']",train
1084,chưa tìm ra .,3,1,[],train
1085,"cô dạy hay , dế hiểu .",0,2,"['dạy', 'dế']",train
1086,"những bài giảng thiết thực , kèm theo những hình thức học tập mới lạ làm cho sinh viên cảm thấy bớt căng thắng khi học .",0,2,"['giảng', 'thiết_thực', 'kèm', 'hình_thức', 'học_tập', 'mới_lạ', 'sinh_viên', 'bớt', 'căng', 'thắng', 'học']",train
1087,"thay vì thế , giảng viên nên tập trung vào các công nghệ được ngôn ngữ lập trình hỗ trợ và cách sử dụng chúng hiệu quả , việc hướng dẫn lập trình nên đưa vào các buổi thực hành .",1,0,"['thay_vì_thế', 'giảng_viên', 'công_nghệ_được', 'ngôn_ngữ', 'lập_trình', 'hiệu_quả', 'hướng_dẫn', 'lập_trình', 'thực_hành']",train
1088,"ngồi đợi thật lâu từ 9h sáng đến 2h trưa , cuối cùng cũng đã đến lượt mình .",3,0,"['đợi', '9h', '2h', 'trưa', 'lượt']",train
1089,"thầy dạy nhiệt tình , rất thương sinh viên .",0,2,"['thầy', 'dạy', 'nhiệt_tình', 'thương', 'sinh_viên']",train
1090,"giảng bài chi tiết , cụ thể .",0,2,"['giảng', 'chi_tiết']",train
1091,"thầy rất tận tâm , nhiệt tình với học sinh !",0,2,"['thầy', 'tận_tâm', 'nhiệt_tình', 'học_sinh']",train
1092,"thầy rất hiền và nhiệt tình quan tâm giúp đỡ chúng em , nhất là trong giờ thực hành nên em rất quý thầy .",0,2,"['thầy', 'hiền', 'nhiệt_tình', 'giúp_đỡ', 'thực_hành', 'quý', 'thầy']",train
1093,thầy cô dạy chưa sâu vào bài học .,0,0,"['thầy', 'dạy', 'sâu', 'bài_học']",train
1094,"giảng viên nhiệt tình , luôn luôn đúng giờ , thường xuyên cho bài tập để giúp sinh viên tiến bộ hơn .",0,2,"['giảng_viên', 'nhiệt_tình', 'thường_xuyên', 'bài_tập', 'giúp', 'sinh_viên', 'tiến_bộ']",train
1095,môn học hay và bổ ích .,1,2,"['môn_học', 'bổ_ích']",train
1096,giảng viên cần tăng cường trao đổi nội dung môn học qua website môn học .,0,0,"['giảng_viên', 'tăng_cường', 'trao_đổi', 'nội_dung', 'môn_học', 'website', 'môn_học']",train
1097,"giảng viên luôn tận tâm , chu đáo .",0,2,"['giảng_viên', 'tận_tâm', 'chu_đáo']",train
1098,thầy dạy nhiệt tình và truyền cảm .,0,2,"['thầy', 'dạy', 'nhiệt_tình', 'truyền_cảm']",train
1099,hoạt động thuyết trình của sinh viên chiếm nhiều thời gian .,0,0,"['hoạt_động', 'thuyết_trình', 'sinh_viên', 'chiếm']",train
1100,"giảng viên vui vẻ , nhiệt tình , gần gũi với sinh viên .",0,2,"['giảng_viên', 'vui_vẻ', 'nhiệt_tình', 'gần_gũi', 'sinh_viên']",train
1101,"giảng viên nên cân đối thời gian giảng dạy , không để trễ bài .",0,0,"['giảng_viên', 'cân_đối', 'giảng_dạy', 'trễ']",train
1102,phần thực hành này học 3 buổi .,1,1,"['thực_hành', 'học', '3']",train
1103,có 3 vấn đề tôi không hài lòng và rất là bức xúc về giảng viên .,0,0,"['3', 'hài_lòng', 'bức_xúc', 'giảng_viên']",train
1104,cô vào trễ .,0,0,['trễ'],train
1105,"giảng viên có vài lần không nghe trình bày kết quả thực hành của sinh viên , khi sinh viên nhóm này trình bày thì giảng viên lại đi qua nhóm khác mặc cho sinh viên đó đang nói .",0,0,"['giảng_viên', 'trình_bày', 'kết_quả_thực_hành', 'sinh_viên', 'sinh_viên', 'trình_bày', 'giảng_viên', 'đi', 'mặc', 'sinh_viên']",train
1106,chưa có slide giảng dạy hiệu quả .,0,0,"['slide', 'giảng_dạy', 'hiệu_quả']",train
1107,"giáo viên nhiệt tình , phương pháp giảng bài dễ hiểu .",0,2,"['giáo_viên', 'nhiệt_tình', 'phương_pháp', 'giảng']",train
1108,thầy rất quan tâm đến khó khăn gặp phải của sinh viên trong lúc thực hành .,0,2,"['thầy', 'sinh_viên', 'thực_hành']",train
1109,"môn học cần làm nhiều bài tập , vận dụng những kiến thức vào bài tập cụ thể .",1,0,"['môn_học', 'bài_tập', 'vận_dụng', 'kiến_thức', 'bài_tập']",train
1110,dạy hay dot giúp học sinh tiếp thu .,0,2,"['dạy', 'dot', 'giúp', 'học_sinh', 'tiếp_thu']",train
1111,tậm tân với sinh viên .,0,2,"['tậm', 'tân', 'sinh_viên']",train
1112,điều này gây mất công bằng và không đánh giá được đúng năng lực học tập của các bạn .,1,0,"['mất_công_bằng', 'năng_lực', 'học_tập']",train
1113,giảng viên giàu kinh nghiệm sư phạm .,0,2,"['giảng_viên', 'giàu', 'kinh_nghiệm', 'sư_phạm']",train
1114,"lớp sỉ số nên ít hơn , tầm 50 sinh viên là ok .",1,0,"['lớp', 'sỉ', 'tầm', '50', 'sinh_viên', 'ok']",train
1115,"thầy luôn quan tâm đến sinh viên , luôn nhắc nhở giám sát quá trình .",0,2,"['thầy', 'sinh_viên', 'nhắc_nhở', 'giám_sát']",train
1116,đảm bảo đầy đủ khối lượng kiến thức cần có của môn học .,0,2,"['đầy_đủ', 'khối_lượng', 'kiến_thức', 'môn_học']",train
1117,"bài tập về nhà quá nhiều , làm cho sinh viên không có nhiều thời gian để làm đồ án và học môn khác .",1,0,"['bài_tập', 'sinh_viên', 'đồ_án', 'học', 'môn']",train
1118,cố gắng giảng lại đến khi sinh viên hiểu bài mới thôi .,0,2,"['cố_gắng', 'giảng', 'sinh_viên']",train
1119,"đôi lúc thầy "" chia sẻ "" hơi nhiều thời gian và việc học vào chương trình thì bị bớt lại nhưng điều này cũng không mấy ảnh hưởng gì .",0,1,"['đôi', 'thầy', 'hơi', 'học', 'chương_trình', 'bớt', 'mấy', 'ảnh_hưởng']",train
1120,phòng học cần có rèm để máy chiếu được rõ ràng .,2,0,"['phòng', 'học', 'rèm', 'máy_chiếu', 'rõ_ràng']",train
1121,em thấy nên bỏ môn học này .,1,0,['môn_học'],train
1122,"để khắc phục tình trạng này , em nghĩ giảng viên lý thuyết với giảng viên thực hành cần có sự thống nhất với nhau về chương trình học .",1,0,"['khắc_phục', 'giảng_viên', 'lý_thuyết', 'giảng_viên', 'thực_hành', 'thống_nhất', 'chương_trình', 'học']",train
1123,thường xuyên giúp đỡ cho sinh viên hiểu bài .,0,2,"['thường_xuyên', 'giúp_đỡ', 'sinh_viên']",train
1124,giảng viên không hướng dẫn nhiều cũng như không quan sát theo dõi quá trình thực hành của sinh viên .,0,0,"['giảng_viên', 'hướng_dẫn', 'quan_sát', 'theo_dõi', 'thực_hành', 'sinh_viên']",train
1125,chúng em học được rất nhiều điều từ thực tế thông qua những câu truyện cô kể .,1,2,"['học', 'thông_qua', 'câu', 'truyện']",train
1126,sinh viên không nắm được nội dung môn học là gì .,1,0,"['sinh_viên', 'nắm', 'nội_dung', 'môn_học']",train
1127,đôi lúc sinh viên theo không kịp .,3,0,"['đôi', 'sinh_viên', 'kịp']",train
1128,thu hút sinh viên .,0,2,"['thu_hút', 'sinh_viên']",train
1129,"cô dạy rất nhiệt tình , cám ơn cô .",0,2,"['dạy', 'nhiệt_tình', 'cám_ơn']",train
1130,thầy luôn tạo một vẻ bề ngoài khiến cho sinh viên căng thẳng khi học .,0,0,"['thầy', 'vẻ', 'bề_ngoài', 'sinh_viên', 'căng_thẳng', 'học']",train
1131,"giảng viên rất nhiệt tình , công bằng trong việc chấm điểm .",0,2,"['giảng_viên', 'nhiệt_tình', 'công_bằng', 'chấm']",train
1132,"thầy vui tính , giảng hay , nhiệt huyết với các bạn .",0,2,"['thầy', 'vui_tính', 'giảng', 'nhiệt_huyết']",train
1133,thầy là người rất nhiệt tình và quan tâm sinh viên !,0,2,"['thầy', 'nhiệt_tình', 'sinh_viên']",train
1134,cần cung cấp nhiều tài liệu .,0,0,"['cung_cấp', 'tài_liệu']",train
1135,"cô hiền , siêu dễ thương và tận tâm , dạy dễ hiểu .",0,2,"['hiền', 'siêu', 'dễ_thương', 'tận_tâm', 'dạy']",train
1136,đề nghị trừ lương .,0,0,"['đề_nghị', 'trừ', 'lương']",train
1137,"thay vào đó nên dạy những nội dung liên quan hơn về ngành ta như cách cài đặt hệ điều hành lớp em có bạn không cài được hệ điều hành nữa , dạy thêm các kinh nghiệm khi phỏng vấn xin việc , xin học bổng , xin thực tập .",1,0,"['thay', 'dạy', 'nội_dung', 'ngành', 'ta', 'cài_đặt', 'hệ', 'điều_hành', 'lớp', 'cài', 'hệ', 'điều_hành', 'dạy', 'kinh_nghiệm', 'phỏng_vấn', 'học_bổng', 'thực_tập']",train
1138,"nên phân bổ thời gian hợp thực hành sớm hơn , sau khi vào học chính khoảng một tháng , cần tránh các ngày thi giữa kỳ ngày lễ vì vừa rồi nhiều hôm thực hành trúng vào các ngày này , phòng thực hành còn nóng và bụi bặm , máy chiếu tuy vẫn thấy như là khá mờ , nếu ngồi xa hay trời sáng quá sẽ không thấy rõ .",1,0,"['phân_bổ', 'hợp', 'thực_hành', 'học', 'thi', 'kỳ', 'lễ', 'hôm', 'thực_hành', 'trúng', 'phòng', 'thực_hành', 'nóng', 'bụi_bặm', 'máy_chiếu', 'mờ', 'trời']",train
1139,"dạy hơi "" lạc đề "" , dạy "" ít ai hiểu "" mà cho đề bài tập bao khó , đồ án bao khủng .",0,0,"['dạy', 'hơi', 'lạc_đề', 'dạy', 'đề_bài_tập', 'bao', 'đồ_án', 'bao', 'khủng']",train
1140,đưa ra nhiều phương pháp để giải bài tập .,0,0,"['phương_pháp', 'giải', 'bài_tập']",train
1141,dạy dở .,0,0,"['dạy', 'dở']",train
1142,"giảng viên nên thay đổi hình thức dạy , hiểu sinh viên hơn .",0,0,"['giảng_viên', 'hình_thức', 'dạy', 'sinh_viên']",train
1143,các buổi training giúp sinh viên bám sát với cấu trúc đề thi .,1,2,"['training', 'giúp', 'sinh_viên', 'bám', 'sát', 'cấu_trúc', 'đề', 'thi']",train
1144,"em nghĩ thầy dạy hơi chậm so với lớp khác nhưng mà thầy dạy đảm bảo chất lượng , rèn được cho bọn em khả năng làm việc nhóm , thuyết trình , cách trả lời câu hỏi .",0,2,"['thầy', 'dạy', 'hơi', 'chậm', 'lớp', 'thầy', 'dạy', 'chất_lượng', 'rèn', 'bọn', 'khả_năng', 'làm_việc', 'thuyết_trình', 'trả_lời', 'câu']",train
1145,giảng viên nghỉ 3 ngày không có lý do .,0,0,"['giảng_viên', 'nghỉ', '3', 'có_lý_do']",train
1146,thường xuyên nghỉ không báo trước không báo lên da hoặc báo với sinh viên .,0,0,"['thường_xuyên', 'nghỉ', 'báo', 'báo', 'da', 'báo', 'sinh_viên']",train
1147,"có lẽ thầy giảng như thế thì chỉ phù hợp với người học có trình độ thạc sĩ , tiến sĩ trở lên thôi .",0,0,"['có_lẽ', 'thầy', 'giảng', 'học', 'trình_độ', 'thạc_sĩ', 'tiến_sĩ', 'trở']",train
1148,nhất là môn anh văn vì số tiết trong buổi học là 4 nên khá căng thẳng .,1,0,"['môn', 'văn', 'tiết', 'học', '4', 'căng_thẳng']",train
1149,máy tính trong phòng thực hành không được tốt cho lắm .,2,0,"['máy_tính', 'phòng', 'thực_hành', 'lắm']",train
1150,"thầy có tạo điều kiện cho chúng em thuyết trình về đồ án môn học , nhưng khi chúng em thuyết trình về nội dung doubledot "" giới thiệu về hệ thống nhúng và vai trò cũng như các ngành ứng dụng hệ thống nhúng "" .",0,1,"['thầy', 'thuyết_trình', 'đồ_án', 'môn_học', 'thuyết_trình', 'nội_dung', 'doubledot', 'giới_thiệu', 'hệ_thống', 'nhúng', 'vai_trò', 'ngành', 'ứng_dụng', 'hệ_thống', 'nhúng']",train
1151,em muốn có thời gian tiếp xúc và học hỏi thầy nhiều hơn nhưng do thầy ít lên lớp nên không có cơ hội .,0,0,"['tiếp_xúc', 'học_hỏi', 'thầy', 'thầy', 'lên_lớp']",train
1152,"đảm bảo thời gian dạy , bài tập nhiều để rèn luyện .",0,2,"['dạy', 'bài_tập', 'rèn_luyện']",train
1153,"cách giảng giải chi tiết , ví dụ dễ hiểu .",0,2,"['giảng_giải', 'chi_tiết', 'ví_dụ']",train
1154,"không nên đánh giá tập trung vào một bài thi cuối kỳ duy nhất , chia thành nhiều phần doubledot 60% kiến thức ai doubledot trong đó có thể kiểm tra giấy như hiện nay bài tập lớn 40% một đồ án vận dụng trí tuệ nhân tạo ( ai ) bài thi cuối kỳ không đảm bảo đánh giá đúng chất lượng sinh viên doubledot đề thi cho những câu dễ , chỉ mất thời gian để trình bày hơn là thời gian suy nghĩ .",1,0,"['thi', 'kỳ', 'duy_nhất', 'chia', 'thành', 'doubledot', '60', 'kiến_thức', 'doubledot', 'kiểm_tra', 'giấy', 'bài_tập', '40', 'đồ_án', 'vận_dụng', 'trí_tuệ', 'nhân_tạo', 'thi', 'kỳ', 'chất_lượng', 'sinh_viên', 'doubledot', 'đề', 'thi', 'câu', 'trình_bày', 'suy_nghĩ']",train
1155,cô tạo sự chủ động cho tụi em khi thực hành .,0,2,"['chủ_động', 'tụi', 'thực_hành']",train
1156,"nhiệt tình , luôn vì học sinh .",0,2,"['nhiệt_tình', 'học_sinh']",train
1157,"bài giảng của cô rất hay , tuy nhiên sinh viên không nắm được các phần quan trọng , và phủ đều lên toàn bộ bài giảng , do đó gây khó hiểu , mất tập trung , hoặc gây buồn ngủ .",1,0,"['giảng', 'sinh_viên', 'nắm', 'phủ', 'toàn_bộ', 'giảng', 'buồn_ngủ']",train
1158,"theo bản thân em thấy sinh viên làm đồ án kết thúc môn học đã đủ để đánh giá , không cần thi lý thuyết cuối kỳ , nó thật sự không mang lại hiệu quả .",1,0,"['sinh_viên', 'đồ_án', 'kết_thúc', 'môn_học', 'thi', 'lý_thuyết', 'kỳ', 'hiệu_quả']",train
1159,"giảng viên dạy tận tình dễ hiểu , đầy đủ kiến thức và hiệu quả trong giảng dạy .",0,2,"['giảng_viên', 'dạy', 'tận_tình', 'đầy_đủ', 'kiến_thức', 'hiệu_quả', 'giảng_dạy']",train
1160,phòng học thiếu quạt .,2,0,"['phòng', 'học', 'quạt']",train
1161,thầy dạy dễ hiểu !,0,2,"['thầy', 'dạy']",train
1162,nội dung bài thực hành nên chú trọng vào chất lượng hơn là số lượng .,1,0,"['nội_dung', 'thực_hành', 'chú_trọng', 'chất_lượng', 'số_lượng']",train
1163,giảng viên nên xem lại cách cho bài tập về nhà .,0,0,"['giảng_viên', 'bài_tập']",train
1164,cảm ơn thầy giúp cho em hiểu rõ hơn về công việc của một tester .,0,2,"['thầy', 'giúp', 'công_việc', 'tester']",train
1165,dạy đúng giờ nhiệt tình .,0,2,"['dạy', 'nhiệt_tình']",train
1166,"kiến thức mở rộng , giáo viên nhiệt tình .",0,2,"['kiến_thức', 'mở_rộng', 'giáo_viên', 'nhiệt_tình']",train
1167,cô không nói bằng micro nên nghe rất khó .,0,0,['micro'],train
1168,giảng viên không lên lớp .,0,0,"['giảng_viên', 'lên_lớp']",train
1169,cố rất nhiệt tình .,0,2,"['cố', 'nhiệt_tình']",train
1170,"thầy dạy thực hành không hiệu quả , hầu như các buổi thực hành , thầy cho bài làm theo tuần , sinh viên tự tìm hiểu .",0,0,"['thầy', 'dạy', 'thực_hành', 'hiệu_quả', 'hầu_như', 'thực_hành', 'thầy', 'bài_làm', 'tuần', 'sinh_viên']",train
1171,giao tiếp tốt với sinh viên .,0,2,"['giao_tiếp', 'sinh_viên']",train
1172,"ít sử dụng hệ thống moodle môn học , slide bài giảng các bài nộp khó khăn để nộp do sinh viên ít sử dụng hệ thống dropbox .",1,0,"['hệ_thống', 'moodle', 'môn_học', 'slide', 'giảng', 'nộp', 'nộp', 'sinh_viên', 'hệ_thống', 'dropbox']",train
1173,"giảng viên nhiệt tình , đến lớp đúng giờ .",0,2,"['giảng_viên', 'nhiệt_tình', 'lớp']",train
1174,"thầy tận tâm , truyền đạt tốt kiến thức .",0,2,"['thầy', 'tận_tâm', 'truyền_đạt', 'kiến_thức']",train
1175,tiết học sinh động .,0,2,"['tiết', 'học_sinh_động']",train
1176,thầy hay chém gió .,0,0,"['thầy', 'chém', 'gió']",train
1177,"thầy dạy truyền đạt rất tốt , dạy hay , dễ hiểu , nhiều bài tập .",0,2,"['thầy', 'dạy', 'truyền_đạt', 'dạy', 'bài_tập']",train
1178,hay gợi những thực tế vào bài học .,0,2,"['gợi', 'bài_học']",train
1179,giảng viên không nhiệt tình giải đáp thắc mắc .,0,0,"['giảng_viên', 'nhiệt_tình', 'giải_đáp', 'thắc_mắc']",train
1180,"nhiệt tình , giáo án tốt , có nhiều bài tập vận dụng trên website môn học .",0,2,"['nhiệt_tình', 'giáo_án', 'bài_tập', 'vận_dụng', 'website', 'môn_học']",train
1181,"giảng viên vui tính , hòa đồng .",0,2,"['giảng_viên', 'vui_tính', 'hòa', 'đồng']",train
1182,cách làm bài của thầy dễ hiểu rõ ràng .,0,2,"['thầy', 'rõ_ràng']",train
1183,"thầy dạy nhiệt tình , vui tính , sôi nổi trên lớp .",0,2,"['thầy', 'dạy', 'nhiệt_tình', 'vui_tính', 'sôi_nổi', 'lớp']",train
1184,kể chuyện hay .,3,2,[],train
1185,thầy khá vui vẻ và nhiệt tình .,0,2,"['thầy', 'vui_vẻ', 'nhiệt_tình']",train
1186,"giảng viên nhiệt tình , tài liệu đầy đủ , đảm bảo gờ lên lớp .",0,2,"['giảng_viên', 'nhiệt_tình', 'tài_liệu', 'đầy_đủ', 'gờ', 'lên_lớp']",train
