sentence,topic,sentiment,dataset,tokens
đó là sự nhiệt huyết của cô wzjwz153 .,0,2,train,"['nhiệt_huyết', 'wzjwz153']"
"bài tập hay , đa dạng .",1,2,train,"['bài_tập', 'đa_dạng']"
"cô giảng dễ hiểu , nhiệt tình .",0,2,train,"['giảng', 'nhiệt_tình']"
"tận tình , rất biết quan tâm đến học sinh .",0,2,train,"['tận_tình', 'học_sinh']"
"thầy rất nhiệt tình , tận tâm với sinh viên .",0,2,train,"['thầy', 'nhiệt_tình', 'tận_tâm', 'sinh_viên']"
"thầy dạy rất tốt và tâm huyết , phương pháp hợp lý và nội dung giảng dạy tạo hứng thú cho sinh viên .",0,2,train,"['thầy', 'dạy', 'tâm_huyết', 'phương_pháp', 'hợp_lý', 'nội_dung', 'giảng_dạy', 'hứng_thú', 'sinh_viên']"
giáo viên đứng lớp dạy rất hay .,0,2,train,"['giáo_viên', 'đứng', 'lớp', 'dạy']"
tóm lại đề thi 50% là kiến thức về mạng chủ yếu không tập trung vào hệ điều hành linux .,1,0,train,"['tóm', 'đề', 'thi', '50', 'kiến_thức', 'mạng', 'chủ_yếu', 'hệ', 'điều_hành', 'linux']"
cô điểm danh nhiều quá colonsad .,0,0,train,"['điểm_danh', 'colonsad']"
"thầy vui vẻ , giúp đỡ nhiệt tình .",0,2,train,"['thầy', 'vui_vẻ', 'giúp_đỡ', 'nhiệt_tình']"
"thầy tận tâm , nhiệt tình dạy dễ hiểu .",0,2,train,"['thầy', 'tận_tâm', 'nhiệt_tình', 'dạy']"
giảng viên thực hành nên quan tâm đến sinh viên nhiều hơn .,0,0,train,"['giảng_viên', 'thực_hành', 'sinh_viên']"
thầy không thông báo thời gian học cụ thể cho sinh viên .,0,0,train,"['thầy', 'thông_báo', 'học', 'sinh_viên']"
dạy chán .,0,0,train,"['dạy', 'chán']"
thầy rất nhiệt tình và thường xuyên dạy lố giờ .,0,0,train,"['thầy', 'nhiệt_tình', 'thường_xuyên', 'dạy', 'lố']"
"thầy vui vẻ , dễ trao đổi học tập .",0,2,train,"['thầy', 'vui_vẻ', 'trao_đổi', 'học_tập']"
"giáo viên tận tình , nhiệt tình trong việc cung cấp tài liệu và bài tập qua facebook .",0,2,train,"['giáo_viên', 'tận_tình', 'nhiệt_tình', 'cung_cấp', 'tài_liệu', 'bài_tập', 'facebook']"
thầy giảng quá nhanh !,0,0,train,"['thầy', 'giảng']"
"thầy nói nhỏ , giờ học khá nhàm chán .",0,0,train,"['thầy', 'học', 'nhàm_chán']"
"giáo viên tâm huyết , nhiệt tình .",0,2,train,"['giáo_viên', 'tâm_huyết', 'nhiệt_tình']"
"cô wzjwz103 dạy rất hay , rất nhiệt tình , cách dạy của cô cũng rất lý thú , tạo sự hứng thú cho sinh viên .",0,2,train,"['wzjwz103', 'dạy', 'nhiệt_tình', 'dạy', 'lý_thú', 'hứng_thú', 'sinh_viên']"
cung cấp cho sinh viên đủ bài tập khi đến lớp cũng như làm ở nhà .,0,2,train,"['cung_cấp', 'sinh_viên', 'bài_tập', 'lớp']"
"giảng viên dạy dễ hiểu , thân thiên với sinh viên .",0,2,train,"['giảng_viên', 'dạy', 'thân', 'thiên', 'sinh_viên']"
"nhiệt tình , kỹ năng dạy kinh nghiệm .",0,2,train,"['nhiệt_tình', 'kỹ_năng', 'dạy', 'kinh_nghiệm']"
thầy nên chủ động hơn trong việc giúp đỡ sinh viên trong lúc thực hành .,0,0,train,"['thầy', 'chủ_động', 'giúp_đỡ', 'sinh_viên', 'thực_hành']"
phòng học thực hành wzjwz18 không đảm bảo chất lượng cho việc học thực hành .,2,0,train,"['phòng', 'học', 'thực_hành', 'wzjwz18', 'chất_lượng', 'học', 'thực_hành']"
"giáo viên giảng rõ , dễ hiểu .",0,2,train,"['giáo_viên', 'giảng']"
"học cực kỳ áp lực , thầy dạy khó hiểu .",0,0,train,"['học', 'cực_kỳ', 'áp_lực', 'thầy', 'dạy']"
"thầy không chịu dạy thực hành , nên cũng rất chán khi học thực hành , nói chung là không ai đi học thực hành là do thầy không dạy tốt , thực ra thì chưa dạy gì cả .",0,0,train,"['thầy', 'dạy', 'thực_hành', 'chán', 'học', 'thực_hành', 'đi', 'học', 'thực_hành', 'thầy', 'dạy', 'dạy']"
"môn học cần được phân bố hợp lý hơn , nên để năm 4 rồi học .",1,0,train,"['môn_học', 'phân_bố', 'hợp_lý', '4', 'học']"
hiện giờ em chưa có cách học đúng đắng .,3,0,train,"['hiện_giờ', 'học', 'đắng']"
"giảng hay , nhiệt tình .",0,2,train,"['giảng', 'nhiệt_tình']"
"thầy lên lớp rất đầy đủ , không nghỉ buổi nào .",0,2,train,"['thầy', 'lên_lớp', 'đầy_đủ', 'nghỉ']"
cô nhiệt tình dạy rất dễ hiêu .,0,2,train,"['nhiệt_tình', 'dạy', 'hiêu']"
giải đáp các thắc mắc nhanh và chi tiết .,0,2,train,"['giải_đáp', 'thắc_mắc', 'chi_tiết']"
"ra đề thi còn cẩu thả , không kiểm soát được các đáp án của câu hỏi .",1,0,train,"['đề', 'thi', 'cẩu_thả', 'kiểm_soát', 'đáp_án', 'câu']"
"cần chỉ cho sinh viên cách làm bài khó , không nên giải chi tiết .",2,0,train,"['sinh_viên', 'giải', 'chi_tiết']"
"cung cấp thêm giáo trình , tài liệu môn học .",1,0,train,"['cung_cấp', 'giáo_trình', 'tài_liệu', 'môn_học']"
tránh tình trạng bị trùng lịch học và gom lớp vào sáng thứ 7 gây mất buổi học của sinh viên .,1,0,train,"['trùng', 'lịch', 'học', 'gom', 'lớp', '7', 'học', 'sinh_viên']"
nhiều bài quá .,1,0,train,[]
phương pháp dạy của thầy hay khiến sinh viên chủ động và tránh sinh viên ngủ trong lớp .,0,2,train,"['phương_pháp', 'dạy', 'thầy', 'sinh_viên', 'chủ_động', 'sinh_viên', 'ngủ', 'lớp']"
"thầy giảng dạy nhiệt tình , tương tác rất hiệu quả , cung cấp nền tảng kiến thức rõ ràng , vững vàng cho lớp .",0,2,train,"['thầy', 'giảng_dạy', 'nhiệt_tình', 'tương_tác', 'hiệu_quả', 'cung_cấp', 'nền_tảng', 'kiến_thức', 'rõ_ràng', 'vững_vàng', 'lớp']"
thầy nói chuyện chưa nghe rõ cho lắm .,0,0,train,"['thầy', 'nói_chuyện', 'lắm']"
thầy chỉ làm việc của thầy .,0,0,train,"['thầy', 'làm_việc', 'thầy']"
đôi lúc sợ sợ thầy colonsad .,0,0,train,"['đôi', 'sợ', 'sợ', 'thầy', 'colonsad']"
chúc thầy nhiều sức khỏe !,3,2,train,"['chúc', 'thầy', 'sức_khỏe']"
"thầy dạy dễ hiểu , nhiệt tình .",0,2,train,"['thầy', 'dạy', 'nhiệt_tình']"
"ít được giao tiếp với giảng viên , giảng viên ít khi lên lớp .",0,0,train,"['giao_tiếp', 'giảng_viên', 'giảng_viên', 'lên_lớp']"
cách dạy hoàn toàn không phù hợp ( giảng viên tuy có kiến thức nhưng không có cách truyền đạt ) .,0,0,train,"['dạy', 'giảng_viên', 'kiến_thức', 'truyền_đạt']"
"giảng viên dạy hay , thu hút , tận tâm với sinh viên .",0,2,train,"['giảng_viên', 'dạy', 'thu_hút', 'tận_tâm', 'sinh_viên']"
thầy dạy tốt em thích thầy .,0,2,train,"['thầy', 'dạy', 'thầy']"
"môn học còn khá nặng nề , không ứng dụng thực tiễn cũng như không phục vụ cho chuyên nghành , theo em nghĩ , môn giải tích thật sự không cần thiết lắm .",1,0,train,"['môn_học', 'nặng_nề', 'ứng_dụng', 'thực_tiễn', 'phục_vụ', 'chuyên', 'nghành', 'môn', 'giải_tích', 'cần_thiết', 'lắm']"
"có vài máy hư trong phòng thực hành , cần khắc phục lại .",2,0,train,"['máy', 'hư', 'phòng', 'thực_hành', 'khắc_phục']"
"giảng viên có khả năng truyền đạt cực tốt , em cực thích .",0,2,train,"['giảng_viên', 'khả_năng', 'truyền_đạt', 'cực', 'cực']"
"cần theo dõi sinh viên kỹ càng hơn , điểm danh thường xuyên .",0,0,train,"['theo_dõi', 'sinh_viên', 'kỹ_càng', 'điểm_danh', 'thường_xuyên']"
chương trình học về môn học này rất hợp lý cho sinh viên .,1,2,train,"['chương_trình', 'học', 'môn_học', 'hợp_lý', 'sinh_viên']"
thường xuyên cho bài tập về nhà để củng cố kiến thức cho sinh viên .,0,2,train,"['thường_xuyên', 'bài_tập', 'củng_cố', 'kiến_thức', 'sinh_viên']"
không có điều gì !,3,1,train,[]
"thầy không sử dụng micro khi giảng bài , em nghe không rõ bài giảng .",0,0,train,"['thầy', 'micro', 'giảng', 'giảng']"
phòng thực hành chưa có chất lượng .,2,0,train,"['phòng', 'thực_hành', 'chất_lượng']"
"môn học liên hệ thực tế , liên kết với đồ án hơn .",1,0,train,"['môn_học', 'liên_hệ', 'liên_kết', 'đồ_án']"
giáo viên giảng dạy dễ hiểu và tận tâm .,0,2,train,"['giáo_viên', 'giảng_dạy', 'tận_tâm']"
thầy nói ngoài lề hơi nhiều .,0,0,train,"['thầy', 'ngoài_lề', 'hơi']"
thường xuyên dạy quá giờ .,0,0,train,"['thường_xuyên', 'dạy']"
"giảng viên nhiệt tình , bài tập đa dạng , phương pháp học thú vị .",0,2,train,"['giảng_viên', 'nhiệt_tình', 'bài_tập', 'đa_dạng', 'phương_pháp', 'học', 'thú_vị']"
"cần thay đổi , bổ sung các chương trình hỗ trợ thực hành trên máy .",1,0,train,"['bổ_sung', 'chương_trình', 'thực_hành', 'máy']"
em có ý kiến là hãy thi môn này trên máy tính với phần mềm vẽ chúng .,1,0,train,"['ý_kiến', 'thi', 'môn', 'máy_tính', 'phần_mềm', 'vẽ']"
là người cô rất có tâm .,0,2,train,['tâm']
"giảng viên rất tận tâm , nỗ lực trong việc giảng dạy .",0,2,train,"['giảng_viên', 'tận_tâm', 'nỗ_lực', 'giảng_dạy']"
"thầy rất tận tâm , về lý thuyết thầy giảng rất hay và tuyệt đối , song về bài tập thì ngược lại , thầy nói chỉ sơ qua , như là mặc định các sinh viên đều đã biết tính toán .",0,0,train,"['thầy', 'tận_tâm', 'lý_thuyết', 'thầy', 'giảng', 'tuyệt_đối', 'song', 'bài_tập', 'ngược', 'thầy', 'sơ', 'mặc_định', 'sinh_viên', 'tính_toán']"
em có thêm một số đề nghị để cải tiến doubledot thêm kênh để trao đổi cho môn học .,0,0,train,"['đề_nghị', 'cải_tiến', 'doubledot', 'kênh', 'trao_đổi', 'môn_học']"
chưa có tài liệu học tập cho sinh viên .,1,0,train,"['tài_liệu', 'học_tập', 'sinh_viên']"
thầy tạo điều kiện cho sinh viên học tập và rất nhiệt tình giảng dạy .,0,2,train,"['thầy', 'sinh_viên', 'học_tập', 'nhiệt_tình', 'giảng_dạy']"
nội dung của phần thực hành thật ra quá ít cho với đồ án .,1,0,train,"['nội_dung', 'thực_hành', 'đồ_án']"
nhiệt tình và rất chú tâm trong công việc giảng dạy đối với sinh viên .,0,2,train,"['nhiệt_tình', 'chú_tâm', 'công_việc', 'giảng_dạy', 'sinh_viên']"
giảng viên luôn đến đúng giờ .,0,2,train,['giảng_viên']
thầy dạy quá khó hiểu .,0,0,train,"['thầy', 'dạy']"
cần cải thiện nhiều .,3,0,train,['cải_thiện']
giảng viên không hướng dẫn nhiều cũng như không quan sát theo dõi quá trình thực hành của sinh viên .,0,0,train,"['giảng_viên', 'hướng_dẫn', 'quan_sát', 'theo_dõi', 'thực_hành', 'sinh_viên']"
cô cầm micro hơi sát nên nghe hơi nhói tai một xíu ( tích cực ) .,0,0,train,"['cầm', 'micro', 'hơi', 'sát', 'hơi', 'nhói', 'tai', 'xíu', 'tích_cực']"
số thời gian thầy nghỉ rất nhiều và không báo trước cho sinh viên .,0,0,train,"['thầy', 'nghỉ', 'báo', 'sinh_viên']"
"còn bình thường đến lớp thầy chỉ làm việc trên máy của thầy , không nói gì cả .",0,0,train,"['bình_thường', 'lớp', 'thầy', 'làm_việc', 'máy', 'thầy']"
thầy dạy hay nhiệt tình .,0,2,train,"['thầy', 'dạy', 'nhiệt_tình']"
"thầy rất nhiệt tình , thẳng thắn .",0,2,train,"['thầy', 'nhiệt_tình', 'thẳng_thắn']"
tất cả đều phải sử dụng trên phần mềm mô phỏng proteus .,3,0,train,"['phần_mềm', 'mô_phỏng', 'proteus']"
"thầy dạy nhiều bài học không chỉ là bài học , rất ý nghĩa .",0,2,train,"['thầy', 'dạy', 'bài_học', 'bài_học', 'ý_nghĩa']"
"dạy học sinh hỏi thì nói "" tui không biết "" .",0,0,train,"['dạy_học_sinh', 'tui']"
"thầy đảm bảo giờ lên lớp , nhiệt tình .",0,2,train,"['thầy', 'lên_lớp', 'nhiệt_tình']"
"phòng thực hành nên bố trí hợp lý , đủ máy móc thực hành .",2,0,train,"['phòng', 'thực_hành', 'bố_trí', 'hợp_lý', 'máy_móc', 'thực_hành']"
bỏ tổ chức thi lý thuyết cuối kỳ vì làm đồ án mất khá nhiều thời gian .,1,0,train,"['tổ_chức', 'thi', 'lý_thuyết', 'kỳ', 'đồ_án']"
thầy nói nhanh quá .,0,0,train,['thầy']
thầy dạy rất hay rất vui .,0,2,train,"['thầy', 'dạy', 'vui']"
cách dạy của giảng viên chưa thực sự phù hợp với bản thân .,0,0,train,"['dạy', 'giảng_viên']"
giáo viên rất gần gũi với học sinh .,0,2,train,"['giáo_viên', 'gần_gũi', 'học_sinh']"
"kiến thức thu được trong từng môn học thì rời rạc , học xong sinh viên có cảm giác như cưỡi ngựa xem hoa .",1,0,train,"['kiến_thức', 'thu', 'môn_học', 'rời_rạc', 'học', 'xong', 'sinh_viên', 'cảm_giác', 'cưỡi', 'ngựa', 'hoa']"
chưa tốt về mặt kiến thức .,0,0,train,"['mặt', 'kiến_thức']"
giảng hơi chậm .,0,0,train,"['giảng', 'hơi', 'chậm']"
giao đề tài không công bằng giữa các nhóm .,0,0,train,"['giao', 'đề_tài', 'công_bằng']"
"cô tận tâm , nhiệt tình , giúp học sinh có kết quả tốt .",0,2,train,"['tận_tâm', 'nhiệt_tình', 'giúp', 'học_sinh', 'kết_quả']"
lớp ồn đến nỗi không muốn đi học .,3,0,train,"['lớp', 'ồn', 'đi', 'học']"
giảng viên luôn đến lớp trễ từ nửa tiếng trở lên .,0,0,train,"['giảng_viên', 'lớp', 'trễ', 'nửa', 'tiếng', 'trở_lên']"
"đa phần các bạn đều không thể hoàn thành trên lớp và phải về nhà làm thêm , nhưng hình thức làm bài ở nhà thì phải trình bày trên một file word nên rất bất tiện cho giáo viên chấm bài cũng như gia tăng tỉ lệ copy bài .",3,0,train,"['đa_phần', 'hoàn_thành', 'lớp', 'hình_thức', 'trình_bày', 'file', 'word', 'bất_tiện', 'giáo_viên', 'chấm', 'gia_tăng', 'tỉ_lệ', 'copy']"
cần có thời gian hợp lý hơn khi học thực hành sau lý thuyết .,1,0,train,"['hợp_lý', 'học', 'thực_hành', 'lý_thuyết']"
"cô dễ thương , dạy có tâm .",0,2,train,"['dễ_thương', 'dạy', 'tâm']"
vì lịch thực hành không được sắp xếp từ đầu dẫn đến trùng lịch môn học khác .,1,0,train,"['lịch', 'thực_hành', 'sắp_xếp', 'đầu', 'trùng', 'lịch', 'môn_học']"
"chưa nhiều kiếm thức thêm , nâng cao ngoài cơ bản của môn học .",0,0,train,"['kiếm', 'thức', 'nâng', 'cơ_bản', 'môn_học']"
cô giáo dạy nhiệt tình .,0,2,train,"['cô_giáo', 'dạy', 'nhiệt_tình']"
không hiểu bài cho lắm .,3,0,train,['lắm']
"chương trình học khá nặng so với sinh viên khoa khác ( seminar , bài tập về nhà , đồ án lớn , thi cuối kỳ , dot ) .",0,0,train,"['chương_trình', 'học', 'sinh_viên', 'khoa', 'seminar', 'bài_tập', 'đồ_án', 'thi', 'kỳ', 'dot']"
"thầy hiền , tử tế .",0,2,train,"['thầy', 'hiền', 'tử_tế']"
"bài giảng , bài tập đầy đủ , dư cho sinh viên tham khảo , ôn luyện .",1,2,train,"['giảng', 'bài_tập', 'đầy_đủ', 'dư', 'sinh_viên', 'tham_khảo', 'ôn_luyện']"
thực hành luôn đi trước lý thuyết .,1,0,train,"['thực_hành', 'đi', 'lý_thuyết']"
nêu rõ các việc cần làm và chuẩn bị .,0,0,train,['nêu']
"phong cách giảng dạy thoải mái , vui vẻ giúp sinh viên dễ tiếp thu kiến thức và ghi nhớ .",0,2,train,"['phong_cách', 'giảng_dạy', 'thoải_mái', 'vui_vẻ', 'giúp', 'sinh_viên', 'tiếp_thu', 'kiến_thức', 'ghi_nhớ']"
"thầy dạy lôi cuốn , cung cấp nhiều kỹ năng nghề nghiệp .",0,2,train,"['thầy', 'dạy', 'lôi_cuốn', 'cung_cấp', 'kỹ_năng', 'nghề_nghiệp']"
nhiệt tình hướng dẫn sinh viên .,0,2,train,"['nhiệt_tình', 'hướng_dẫn', 'sinh_viên']"
nhưng lớp trường lại chậm trể trong việc đưa về cho sinh viên thế nên cần phân bổ tài liệu trực tiếp cho sinh viên .,0,0,train,"['lớp', 'trường', 'chậm', 'trể', 'sinh_viên', 'phân_bổ', 'tài_liệu', 'sinh_viên']"
thay đổi cách giảng dạy giờ thực hành .,1,0,train,"['giảng_dạy', 'thực_hành']"
"cô tận tâm , nhiệt tình với sinh viên , truyền đạt kiến thức dễ hiểu .",0,2,train,"['tận_tâm', 'nhiệt_tình', 'sinh_viên', 'truyền_đạt', 'kiến_thức']"
vui vẻ hài hước .,0,2,train,"['vui_vẻ', 'hài_hước']"
giảng viên không có khả năng truyền đạt kiến thức cũng như cách phân bố giảng dạy cho phù hợp .,0,0,train,"['giảng_viên', 'khả_năng', 'truyền_đạt', 'kiến_thức', 'phân_bố', 'giảng_dạy']"
"giảng viên hơi khó tính với sinh viên , giảng bài lan man gây khó hiểu cho sinh viên .",0,0,train,"['giảng_viên', 'hơi', 'khó_tính', 'sinh_viên', 'giảng', 'lan_man', 'sinh_viên']"
mong có sự hỗ trợ trong thực hành .,0,0,train,"['mong', 'thực_hành']"
"trường uit , cách riêng khoa truyền thông và mạng máy tính rất may mắn có được người thầy như thầy x .",0,2,train,"['trường', 'uit', 'khoa', 'truyền_thông', 'mạng', 'máy_tính', 'may_mắn', 'thầy', 'thầy', 'x']"
"giảng viên dạy dễ hiểu , nhiệt tình .",0,2,train,"['giảng_viên', 'dạy', 'nhiệt_tình']"
"cô nhiệt tình , nhưng cách trình bày của cô , nội dung cô nói khó hiểu quá !",0,0,train,"['nhiệt_tình', 'trình_bày', 'nội_dung']"
giảng bài nhiệt huyết và tận tâm .,0,2,train,"['giảng', 'nhiệt_huyết', 'tận_tâm']"
cô lo sợ sinh viên sẽ không thể hiểu được nhưng thật sự thì để đỗ được đại học thì mức độ tư duy của các sinh viên đã tương đối tốt .,0,1,train,"['lo_sợ', 'sinh_viên', 'đỗ', 'đại_học', 'mức_độ', 'tư_duy', 'sinh_viên', 'tương_đối']"
giảng viên giảng dạy còn khó hiểu .,0,0,train,"['giảng_viên', 'giảng_dạy']"
"bài tập cô cho dễ quá , không khuyến khích được tinh thần tự học của các bạn .",1,0,train,"['bài_tập', 'khuyến_khích', 'tinh_thần', 'học']"
rất hiểu tâm lý sinh viên .,0,2,train,"['tâm_lý', 'sinh_viên']"
làm bài tập về nhà .,1,1,train,['bài_tập']
thầy có phương pháp giảng dạy hay .,0,2,train,"['thầy', 'phương_pháp', 'giảng_dạy']"
cách thầy truyền đạt kiến thức rất hay và dễ hiểu .,0,2,train,"['thầy', 'truyền_đạt', 'kiến_thức']"
"thầy nhiệt tình , tận tâm .",0,2,train,"['thầy', 'nhiệt_tình', 'tận_tâm']"
nội dung học cần cải thiện .,1,0,train,"['nội_dung', 'học', 'cải_thiện']"
thầy wzjwz263 dạy tận tâm lắm .,0,2,train,"['thầy', 'wzjwz263', 'dạy', 'tận_tâm', 'lắm']"
giảng viên giảng dạy còn kém hiệu quả khi mà ở trên thì giảng viên giảng dạy còn ở dưới thì sinh viên làm việc riêng .,0,0,train,"['giảng_viên', 'giảng_dạy', 'kém', 'hiệu_quả', 'giảng_viên', 'giảng_dạy', 'sinh_viên', 'làm_việc']"
"nên có phương pháp thông báo đến sinh viên về lịch học trong thời gian gần buổi học , hơn nữa tránh trùng lắp với môn học khác .",1,0,train,"['phương_pháp', 'thông_báo', 'sinh_viên', 'lịch', 'học', 'học', 'trùng_lắp', 'môn_học']"
sao chưa thấy đi dạy bữa nào ?,0,0,train,"['đi', 'dạy', 'bữa']"
"thầy luôn dặn chúng em phải trăn trở về tương lai , phải có sự phấn đấu , hoàn thiện tốt nhất mọi công việc .",0,2,train,"['thầy', 'dặn', 'trăn_trở', 'tương_lai', 'phấn_đấu', 'hoàn_thiện', 'công_việc']"
thầy dạy rất hay giải nhiều bài tập .,0,2,train,"['thầy', 'dạy', 'giải', 'bài_tập']"
"nhiệt tình với sinh viên , bài giảng hay .",0,2,train,"['nhiệt_tình', 'sinh_viên', 'giảng']"
lớp học đông nên ồn ào và khó tiếp thu .,1,0,train,"['lớp_học', 'đông', 'ồn_ào', 'tiếp_thu']"
cũng ổn .,3,1,train,['ổn']
"nhiệt tình , hăng hái , kỹ lưỡng .",0,2,train,"['nhiệt_tình', 'hăng_hái', 'kỹ_lưỡng']"
"ít hướng dẫn sinh viên thực hành , ra bài rồi để đó , toàn để sinh viên tự làm , đi học cũng như không đi , ai làm gì đó làm .",0,0,train,"['hướng_dẫn', 'sinh_viên', 'thực_hành', 'toàn', 'sinh_viên', 'đi', 'học', 'đi']"
thầy nhiệt tình chỉ bài .,0,2,train,"['thầy', 'nhiệt_tình']"
thầy dạy rất hay và vui .,0,2,train,"['thầy', 'dạy', 'vui']"
kỳ này môn java web thì tinh thần giảng dạy của thầy cũng không hề khá hơn chút nào .,0,0,train,"['kỳ', 'môn', 'java', 'web', 'tinh_thần', 'giảng_dạy', 'thầy', 'hề', 'chút']"
"tận tâm , chu đáo và luôn theo sát giúp sinh viên đạt kết quả tốt trong môn học .",0,2,train,"['tận_tâm', 'chu_đáo', 'sát', 'giúp', 'sinh_viên', 'kết_quả', 'môn_học']"
"cô giảng bài rất kỹ , có ví dụ minh họa cụ thể .",0,2,train,"['giảng', 'kỹ', 'ví_dụ', 'minh_họa']"
nói hơi nhiều .,0,0,train,['hơi']
cô nhiệt tình dễ thương .,0,2,train,"['nhiệt_tình', 'dễ_thương']"
nhóm trưởng không làm thì đồ án bỏ không .,1,0,train,"['trưởng', 'đồ_án']"
đây là môn học kỹ năng nên không cần thiết khi kiểm tra bằng hình thức thi tự luận mà nên đánh giá bằng đồ án .,1,0,train,"['môn_học', 'kỹ_năng', 'cần_thiết', 'kiểm_tra', 'hình_thức', 'thi', 'luận', 'đồ_án']"
cô nhiệt tình giảng dạy và hướng dẫn chúng em phương pháp để học tập tốt không chỉ riêng cho môn này mà còn hướng chúng em học làm sao để sau này ra đi làm cho tốt .,0,2,train,"['nhiệt_tình', 'giảng_dạy', 'hướng_dẫn', 'phương_pháp', 'học_tập', 'môn', 'hướng', 'học', 'đi']"
em nghĩ cô đừng nên cho các bạn lên bảng giải bài nữa .,0,0,train,"['đừng', 'bảng', 'giải']"
truyền thụ hết kiến thức cho sinh viên .,0,2,train,"['truyền', 'thụ', 'kiến_thức', 'sinh_viên']"
"thương , hài hước , lấy ví dụ thực tiễn , biết phân bố hợp lý giờ giảng dạy xen lẫn trò chuyện cùng học sinh .",0,2,train,"['thương', 'hài_hước', 'ví_dụ', 'thực_tiễn', 'phân_bố', 'hợp_lý', 'giảng_dạy', 'xen_lẫn', 'trò_chuyện', 'học_sinh']"
giảng viên hay lên lớp muộn .,0,0,train,"['giảng_viên', 'lên_lớp', 'muộn']"
thầy xem bên phần của thầy wzjwz139 nha thầy .,0,1,train,"['thầy', 'thầy', 'wzjwz139', 'nha_thầy']"
thấy cho nhiều bài tập hay giúp sinh viên biết được nhiều kỹ thuật .,0,2,train,"['bài_tập', 'giúp', 'sinh_viên', 'kỹ_thuật']"
"nhiệt tình với sinh viên , lên lớp đúng giờ .",0,2,train,"['nhiệt_tình', 'sinh_viên', 'lên_lớp']"
"cung cấp thêm tài liệu môn học cho sinh viên , sử dụng hợp lý giờ giảng trên lớp .",0,0,train,"['cung_cấp', 'tài_liệu', 'môn_học', 'sinh_viên', 'hợp_lý', 'giảng', 'lớp']"
"em nghĩ việc học sẽ hiệu quả hơn , khi thầy dạy chúng em đầy đủ tiết .",0,0,train,"['học', 'hiệu_quả', 'thầy', 'dạy', 'đầy_đủ', 'tiết']"
giảng viên thân thiện với sinh viên .,0,2,train,"['giảng_viên', 'thân_thiện', 'sinh_viên']"
thầy đúng giờ .,0,2,train,['thầy']
dạy nhiều kiến thức ngoài hữu ích .,0,2,train,"['dạy', 'kiến_thức', 'hữu_ích']"
"chưa thực sự đi sâu vào nội dung môn học , phần lớn thời gian trên lớp làm bài thực hành mất rồi .",0,0,train,"['đi_sâu', 'nội_dung', 'môn_học_phần_lớn', 'lớp', 'thực_hành']"
thầy giảng khá hay .,0,2,train,"['thầy', 'giảng']"
để sinh viên tự nghiên cứu quá nhiều .,1,0,train,"['sinh_viên', 'nghiên_cứu']"
nhiệt tình và quan tâm đên sinh viên hơn .,0,0,train,"['nhiệt_tình', 'đên', 'sinh_viên']"
bài tập hơi khó .,1,0,train,"['bài_tập', 'hơi']"
"thầy dạy rất nhiệt tình , hay và dễ hiểu .",0,2,train,"['thầy', 'dạy', 'nhiệt_tình']"
"giảng viên dạy nhiệt tình , tận tình giúp đỡ .",0,2,train,"['giảng_viên', 'dạy', 'nhiệt_tình', 'tận_tình', 'giúp_đỡ']"
"tuy nhiên thầy chưa nhấn mạnh công thức môn học cùng với việc thầy giảng những ví dụ quá nhanh , ví dụ đầu tiên khá khó , nên em chưa thể nắm kịp những kiến thức mới .",0,0,train,"['thầy', 'nhấn_mạnh', 'công_thức', 'môn_học', 'thầy', 'giảng', 'ví_dụ', 'ví_dụ', 'thể', 'nắm', 'kịp', 'kiến_thức']"
nhiệt tình giúp đỡ sinh viên và tạo sinh viên có nơi để nâng cao kỹ năng lập trình .,0,2,train,"['nhiệt_tình', 'giúp_đỡ', 'sinh_viên', 'sinh_viên', 'nâng', 'kỹ_năng', 'lập_trình']"
"thầy vui tính nà , nhiệt tình , cách giảng dạy dễ hiểu !",0,2,train,"['thầy', 'vui_tính', 'nà', 'nhiệt_tình', 'giảng_dạy']"
"giảng viên vui vẻ , tận tâm .",0,2,train,"['giảng_viên', 'vui_vẻ', 'tận_tâm']"
cần hướng dẫn sinh viên ôn tập .,0,0,train,"['hướng_dẫn', 'sinh_viên', 'ôn_tập']"
"giảng viên dạy kỹ , dạy sâu .",0,2,train,"['giảng_viên', 'dạy', 'kỹ', 'dạy', 'sâu']"
thầy chỉ bảo sinh viên tận tình .,0,2,train,"['thầy', 'chỉ_bảo', 'sinh_viên', 'tận_tình']"
nên khắc phục thái độ của giảng viên .,0,0,train,"['khắc_phục', 'thái_độ', 'giảng_viên']"
"nếu có thể , xin thầy cho chúng em những bài tập có đáp án .",0,0,train,"['thầy', 'bài_tập', 'đáp_án']"
và còn rất nhiều vấn đề khác .,3,0,train,[]
"thầy cung cấp nhiều thông tin hay , hữu ích đối với đồ án .",0,0,train,"['thầy', 'cung_cấp', 'thông_tin', 'hữu_ích', 'đồ_án']"
thầy cô giáo dạy rất nhiệt tình và vui vẻ .,0,2,train,"['thầy', 'cô_giáo', 'dạy', 'nhiệt_tình', 'vui_vẻ']"
"do học kỳ này em không thể đến lớp học môn này , nên em không thể đưa ra ý kiến gì thêm .",3,1,train,"['học_kỳ', 'lớp_học', 'môn', 'ý_kiến']"
